ability_id,local_language_id,short_effect,effect
7,5,Empêche la paralysie.,"Ce Pokémon ne peut pas être paralysé.

Si un Pokémon est paralysé et acquiert ce talent, sa paralysie est guérie ; cela inclut lorsqu'il retrouve un talent perdu après avoir quitté le combat."
7,6,Verhindert []{mechanic:paralysis}.,"Ein Pokémon mit dieser Fähigkeit kann nicht [paralysiert]{mechanic:paralysis} werden.

Wenn ein [paralysiertes]{mechanic:paralysis} Pokémon diese Fähigkeit erhält, wird es von der []{mechanic:paralysis} geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein."
7,9,Prevents [paralysis]{mechanic:paralysis}.,"This Pokémon cannot be [paralyzed]{mechanic:paralysis}.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle."
8,5,"Augmente l'esquive à 1,25× pendant une tempête de sable. Protège contre les dégâts de tempête de sable.","Lors d'une tempête de sable, l'esquive de ce Pokémon est multipliée par 1,25, et il ne subit pas de dégâts dus à la tempête de sable quel que soit son type.

Le bonus d'esquive n'est pas considéré comme une modification de statistique.

Capacité spéciale : Si le Pokémon en tête possède cette capacité, le taux de rencontre avec des Pokémon sauvages est réduit de moitié pendant une tempête de sable."
8,6,Erhöht den []{mechanic:evasion} um 25% während eines [Sandsturms]{mechanic:sandstorm}. Kein Schaden durch [Sandstürme]{mechanic:sandstorm}.,"Während eines [Sandsturms]{mechanic:sandstorm} hat ein Pokémon mit dieser Fähigkeit einen um 25% erhöhten []{mechanic:evasion} und es nimmt keinen Schaden durch [Sandstürme]{mechanic:sandstorm}.

Der Bonus zählt nicht als [Statuswerte Änderung]{mechanic:stat-modifier}.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf."
8,9,Increases [evasion]{mechanic:evasion} to 1.25× during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.,"During a [sandstorm]{mechanic:sandstorm}, this Pokémon has 1.25× its [evasion]{mechanic:evasion}, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a [stat modifier]{mechanic:stat-modifier}.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm."
9,5,A 30% de chances de paralyser le Pokémon attaquant au contact.,"Chaque fois qu'une capacité entre en contact avec ce Pokémon, l'utilisateur de la capacité a 30 % de chances d'être paralysé.

Les Pokémon immunisés contre les capacités de type Électrik peuvent quand même être paralysés par ce talent.

Dans le monde extérieur : Si le Pokémon de tête possède ce talent, il y a 50 % de chances que les rencontres soient avec un Pokémon de type Électrik, si applicable."
9,6,30% Chance das angreifende Pokémon bei Kontakt zu [paralysieren]{mechanic:paralysis}.,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass der Angreifer [paralysiert]{mechanic:paralysis} wird.

Pokémon die immun gegen []{type:electric} Attacken sind können trotzdem von dieser Fähigkeit [paralysiert]{mechanic:paralysis} werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht eine 50% Chance einem []{type:electric} Pokémon zu begegnen, falls es welche gibt."
9,9,Has a 30% chance of [paralyzing]{mechanic:paralysis} attacking Pokémon on contact.,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being [paralyzed]{mechanic:paralysis}.

Pokémon that are immune to []{type:electric}-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an []{type:electric} Pokémon, if applicable."
10,5,"Absorbe les attaques électriques, soignant 1/4 des PV max.","À chaque fois qu'une capacité de type Électrik touche ce Pokémon, il récupère 1/4 de ses PV maximum, annulant tout autre effet sur lui.

Cette capacité ne s'activera pas si ce Pokémon est de type Sol et donc immunisé aux capacités de type Électrik. Les capacités de type Électrik ignoreront le clone de ce Pokémon.

Cet effet inclut les capacités ne causant pas de dégâts, comme Cage-Éclair."
10,6,Absorbiert []{type:electric} Attacken und heilt 1/4 der max []{mechanic:hp}.,"Wenn ein Pokémon mit dieser Fähigkeit von einer []{type:electric} Attacke getroffen wird, wird es um 1/4 seiner maximalen []{mechanic:hp} geheilt. Jeder andere Effekt der Attacke wird ignoriert.

Die Fähigkeit wirkt nicht, wenn das Pokémon vom Typ []{type:ground} ist. []{type:electric} Attacken ignorieren den []{move:substitute} dieses Pokémons.

Der Effekt gilt auch für Attacken die keinen Schaden verursachen, wie z.B. []{move:thunder-wave}."
10,9,"Absorbs []{type:electric} moves, healing for 1/4 max [HP]{mechanic:hp}.","Whenever an []{type:electric}-type move hits this Pokémon, it heals for 1/4 of its maximum [HP]{mechanic:hp}, negating any other effect on it.

This ability will not take effect if this Pokémon is []{type:ground}-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's []{move:substitute}.

This effect includes non-damaging moves, i.e. []{move:thunder-wave}."
11,5,"Absorbe les attaques Eau, soignant 1/4 des PV max.","Chaque fois qu'une capacité de type Eau touche ce Pokémon, il récupère 1/4 de ses PV max, annulant tout autre effet sur lui.

Les capacités de type Eau ignoreront la Clonage de ce Pokémon."
11,6,Absorbiert []{type:water} Attacken und heilt 1/4 der maximalen []{mechanic:hp}.,"Wenn ein Pokémon mit dieser Fähigkeit von einer []{type:water} Attacke getroffen wird, wird es um 1/4 seiner maximalen []{mechanic:hp} geheilt. Jeder andere Effekt der Attacke wird ignoriert.

[]{type:water} Attacken ignorieren den []{move:substitute} dieses Pokémons."
11,9,"Absorbs []{type:water} moves, healing for 1/4 max [HP]{mechanic:hp}.","Whenever a []{type:water}-type move hits this Pokémon, it heals for 1/4 of its maximum [HP]{mechanic:hp}, negating any other effect on it.

Water moves will ignore this Pokémon's []{move:substitute}."
12,5,Empêche l'infatuation et protège contre Séduction.,"Ce Pokémon ne peut pas être attiré et est immunisé contre Séduction.

Si un Pokémon est attiré et acquiert ce talent, son attirance est annulée."
12,6,Verhindert []{mechanic:infatuation} und schützt gegen []{move:captivate}.,"Dieses Pokémon kann sich nicht [verlieben]{mechanic:infatuation} und ist immun gegen []{move:captivate}.

Wenn ein Pokémon [verliebt]{mechanic:infatuation} ist und diese Fähigkeit erhält, wird es von der []{mechanic:infatuation} geheilt."
12,9,Prevents [infatuation]{mechanic:infatuation} and protects against []{move:captivate}.,"This Pokémon cannot be [infatuated]{mechanic:infatuation} and is immune to []{move:captivate}.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared."
13,5,"Annule tous les effets du climat, mais ne prévient pas l'apparition du climat lui-même.","Tant que ce Pokémon est en combat, la météo peut encore être en jeu, mais n'aura aucun de ses effets.

Cette capacité fonctionne de manière identique à ""Air Lock""."
13,6,Entfernt alle [Wettereffekte]{mechanic:weather} aber ändert nicht das []{mechanic:weather} selbst.,"Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann das []{mechanic:weather} zwar geändert werden, hat aber keinen Effekt.

Diese Fähigkeit ist identisch mit []{ability:air-lock}."
13,9,"Negates all effects of [weather]{mechanic:weather}, but does not prevent the weather itself.","While this Pokémon is in battle, [weather]{mechanic:weather} can still be in play, but will not have any of its effects.

This ability functions identically to []{ability:air-lock}."
14,5,"Augmente la précision des attaques à 1,3×.","Les capacités de ce Pokémon ont une précision augmentée de 1,3×.

Cette capacité n'a aucun effet sur les attaques KO en un coup (Abîme, Guillotine, Empal'Korne, et Glaciation).

En dehors des combats : Si le Pokémon en tête de l'équipe possède ce talent, la probabilité qu'un Pokémon sauvage tienne un objet particulier passe de 50%, 5% ou 1% à 60%, 20% ou 5%, respectivement."
14,6,Erhöht die []{mechanic:accuracy} von Attacken um 30%.,"Die Attacken eines Pokémon mit dieser Fähigkeit haben eine um 30% erhöhte []{mechanic:accuracy}.

Diese Fähigkeit hat keinen Einfluss auf K.O.-Attacken ([]{move:fissure}, []{move:guillotine}, []{move:horn-drill} und []{move:sheer-cold}).

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance, dass ein wildes Pokémon ein Item trägt von 50%, 5% oder 1% auf 60%, 20% oder 5%, respektive."
14,9,Increases moves' [accuracy]{mechanic:accuracy} to 1.3×.,"This Pokémon's moves have 1.3× their [accuracy]{mechanic:accuracy}.

This ability has no effect on the one-hit KO moves ([]{move:fissure}, []{move:guillotine}, []{move:horn-drill}, and []{move:sheer-cold}).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively."
15,5,Empêche le sommeil.,"Ce Pokémon ne peut pas s'endormir. Cela empêche complètement l'attaque Repos d'avoir effet. Si un Pokémon est endormi et acquiert ce talent, il se réveillera immédiatement; cela inclut le fait de regagner un talent perdu en quittant le combat.

Ce talent fonctionne de manière identique à Esprit Vital en combat."
15,6,Verhindert []{mechanic:sleep}.,"Ein Pokémon mit dieser Fähigkeit kann nicht [einschlafen]{mechanic:sleep}.

[]{move:rest} schlägt fehl. Wenn ein Pokémon [schläft]{mechanic:sleep} und diese Fähigkeit erhält, wacht es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.

Diese Fähigkeit ist identisch mit []{ability:vital-spirit}."
15,9,Prevents [sleep]{mechanic:sleep}.,"This Pokémon cannot be [asleep]{mechanic:sleep}.

This causes []{move:rest} to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to []{ability:vital-spirit} in battle."
16,5,Change de type pour correspondre à celui de l'attaque reçue.,"Chaque fois que ce Pokémon subit des dégâts d'une attaque, son type change pour correspondre à celui de l'attaque.

Si le Pokémon a deux types, les deux sont remplacés. Le Pokémon doit subir les dégâts directement ; par exemple, les attaques bloquées par un clone ne déclencheront pas cette capacité, ni les attaques causant des dégâts indirects, comme les pièges de roc.

Cette capacité ne prend effet qu'au dernier coup d'une attaque multi-coups.

Dans Pokémon Colosseum et XD: Le Souffle des Ténèbres, cette capacité ne fonctionne pas sur les attaques de type Obscur."
16,6,Ändert den Typ des Pokémons in den der Attacke von der es getroffen wird.,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Schaden verursacht, ändert sich der Typ des Pokémons in den der Attacke.

Wenn das Pokémon 2 Typen hat, werden beide überschrieben. Das Pokémon muss direkten Schaden erleiden, Attacken die vom []{move:substitute} geblockt werden, lösen den Effekt nicht aus, ebenso wie Attacken mit indirektem Schaden wie []{move:spikes}.

Bei Attacken mit mehreren Treffern löst nur der Letzte den Effekt aus.

Diese Fähigkeit hat keinen Einfluss auf []{type:shadow} Attacken in Pokémon Colosseum und XD: Der dunkle Sturm."
16,9,Changes type to match when hit by a damaging move.,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a []{move:substitute} will not trigger this ability, nor will moves that deal damage indirectly, such as []{move:spikes}.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves."
17,5,Empêche l'empoisonnement.,"Ce Pokémon ne peut pas être empoisonné. Cela inclut le poison grave.

Si un Pokémon est empoisonné et acquiert ce talent, son poison est guéri ; cela inclut le recouvrement d’une capacité perdue après avoir quitté le combat."
17,6,Verhindert []{mechanic:poison}.,"Ein Pokémon mit dieser Fähigkeit kann nicht [vergiftet]{mechanic:poison} werden. Das schließt schwere []{mechanic:poison} mit ein.

Wenn ein [vergiftetes]{mechanic:poison} Pokémon diese Fähigkeit erhält, wird es von der []{mechanic:poison} geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein."
17,9,Prevents [poison]{mechanic:poison}.,"This Pokémon cannot be [poisoned]{mechanic:poison}.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle."
18,5,"Protège contre les attaques Feu. Une fois une attaque bloquée, les capacités Feu du Pokémon infligent 1,5× de dégâts jusqu'à ce qu'il quitte le combat.","Ce Pokémon est immunisé contre les attaques de type Feu. Une fois touché par une attaque de type Feu, ses propres attaques de type Feu infligeront 1,5× plus de dégâts jusqu'à ce qu'il quitte le combat.

Cette capacité n'a aucun effet si le Pokémon est congelé. Le bonus de dégâts de Feu est conservé même si le Pokémon est congelé et dégèle, ou si la capacité est perdue ou désactivée. Les attaques de type Feu ignoreront le clone de ce Pokémon. Cette capacité s'applique même aux capacités qui ne causent pas de dégâts, par ex. Feu Follet."
18,6,"Schützt vor []{type:fire} Attacken. Sobald eine []{type:fire} Attacke blockiert wurde, erhöht sich der Schaden der eigenen []{type:fire} Attacken um 50%.","Ein Pokémon mit dieser Fähigkeit ist immun gegen []{type:fire} Attacken. Sobald es von einer []{type:fire} Attacke getroffen wurde, erhöht sich der Schaden der eigenen []{type:fire} Attacken um 50% bis es den Kampf verlässt.

Die Fähigkeit hat keinen Effekt, wenn das Pokémon [eingefroren]{mechanic:freezing} ist. Der Bonus bleibt erhalten wenn das Pokémon [eingefroren]{mechanic:freezing} ist und wieder auftaut oder wenn es die Fähigkeit wechselt bzw. diese deaktiviert wird. []{type:fire} Attacken ignorieren den []{move:substitute}. Der Effekt wirkt auch bei []{type:fire} Attacken die keinen Schaden verursachen, wie z.B. []{move:will-o-wisp}."
18,9,"Protects against []{type:fire} moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.","This Pokémon is immune to []{type:fire}-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is [frozen]{mechanic:freezing}.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's []{move:substitute}.  This ability takes effect even on non-damaging moves, i.e. []{move:will-o-wisp}."
19,5,Protège contre les effets supplémentaires des attaques reçues.,"Ce Pokémon est immunisé aux effets secondaires des capacités utilisées contre lui.

Un effet secondaire est la probabilité d'une capacité, indiquée comme une ""chance d'effet"", d'infliger un changement de statut, de provoquer une altération de statistique ou de faire chanceler la cible en plus de l'effet principal de la capacité. Par exemple, la paralysie de choc électrique est un effet secondaire, mais pas celle de cage-éclair, ni la suppression d'objet de sabotage ou le taux de coups critiques augmenté de coupe-vent."
19,6,Schützt vor Zusatzeffekten von Attacken.,"Ein Pokémon mit dieser Fähigkeit ist immun gegen Zusatzeffekt von Attacken.

Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effektchance"" bezeichnet, eine []{mechanic:status-ailment} oder eine []{mechanic:stat-modifier} hervorzurufen oder das Ziel [zurückschrecken]{mechanic:flinching} zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die []{mechanic:paralysis} die []{move:thunder-shock} verursachen kann ein Zusatzeffekt, im Gegensatz zu []{move:thunder-wave}, genauso wie das Entfernen des Items durch []{move:knock-off} und die erhöhte [kritische Trefferchance]{mechanic:critial-hit} durch []{move:air-cutter}."
19,9,Protects against incoming moves' extra effects.,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a [status ailment]{mechanic:status-ailment}, cause a [stat change]{mechanic:stat-modifier}, or make the target [flinch]{mechanic:flinching} in addition to the move's main effect.  For example, []{move:thunder-shock}'s [paralysis]{mechanic:paralysis} is an extra effect, but []{move:thunder-wave}'s is not, nor are []{move:knock-off}'s item removal and []{move:air-cutter}'s increased [critical hit]{mechanic:critial-hit} rate."
20,5,Empêche la confusion.,"Ce Pokémon ne peut pas être confus.

Si un Pokémon est confus et acquiert ce talent, sa confusion sera immédiatement guérie."
20,6,Verhindert []{mechanic:confusion}.,"Ein Pokémon mit dieser Fähigkeit kann nicht [verwirrt]{mechanic:confusion} werden.

Wenn ein Pokémon verwirrt ist und diese Fähigkeit erhält, wird es von der []{mechanic:confusion} geheilt."
20,9,Prevents [confusion]{mechanic:confusion}.,"This Pokémon cannot be [confused]{mechanic:confusion}.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed."
21,5,Empêche d'être forcé de quitter le combat par les attaques des autres Pokémon.,"Ce Pokémon ne peut pas être forcé de quitter le combat par des capacités telles que Cyclone.

Queue de Dragon et Projection infligent toujours des dégâts à ce Pokémon.

Sur le terrain : Si le Pokémon en tête de l’équipe possède ce talent, le taux de réussite à la pêche est augmenté."
21,6,Verhindert den Austausch von Pokémon durch Attacken.,"Ein Pokémon mit dieser Fähigkeit kann nicht mit Attacken wie []{move:whirlwind} ausgetauscht werden.

[]{move:dragon-tail} und []{move:circle-throw} verursachen trotzdem Schaden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln."
21,9,Prevents being forced out of battle by other Pokémon's moves.,"This Pokémon cannot be forced out of battle by moves such as []{move:whirlwind}.

[]{move:dragon-tail} and []{move:circle-throw} still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased."
22,5,Diminue l'Attaque des adversaires d'un niveau en entrant au combat.,"Lorsque ce Pokémon entre en combat, l'Attaque de l'adversaire est réduite d'un niveau. En combat double, les deux adversaires sont affectés.

Cette capacité s'active également lorsqu'elle est acquise en cours de combat, mais ne s'activera pas de nouveau si elle est perdue puis regagnée sans quitter le combat.

Cette capacité n'a aucun effet sur un adversaire qui utilise Clonage.

Hors combat : Si le premier Pokémon de l'équipe possède cette capacité, toute rencontre aléatoire avec un Pokémon de cinq niveaux ou plus inférieurs a 50 % de chances d'être évitée."
22,6,Senkt den []{mechanic:attack} des Gegners um 1 [Stufe]{mechanic:stat-modifier} beim Betreten des Kampfes.,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird der []{mechanic:attack} des Gegners um 1 [Stufe]{mechanic:stat-modifier} gesenkt. Im Mehrfachkämpfen werden alle Gegner beeinflusst.

Diese Fähigkeit löst auch aus, wenn sie im Kampf erlangt wurde, aber nicht, wenn sie verloren und zurückerlangt wurde.

Die Fähigkeit hat keinen Einfluss auf Gegner mit einem []{move:substitute}.

Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden."
22,9,Lowers opponents' [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier} upon entering battle.,"When this Pokémon enters battle, the opponent's [Attack]{mechanic:attack} is lowered by one [stage]{mechanic:stat-modifier}.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a []{move:substitute}.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped."
23,5,Empêche les adversaires de fuir ou de se retirer.,"Tant que ce Pokémon est en combat, les Pokémon adverses ne peuvent ni fuir ni être échangés.

Les autres Pokémon possédant ce talent ne sont pas affectés. Les Pokémon ayant le talent Fuite peuvent toujours fuir. Les Pokémon peuvent encore être échangés en utilisant une capacité ou un objet."
23,6,"Verhindert, dass der Gegner flieht oder ausgetauscht wird.","Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann der Gegner nicht fliehen oder ausgetauscht werden.

Andere Pokémon mit derselben Fähigkeit sind nicht betroffen. Pokémon mit []{ability:run-away} können trotzdem fliehen. Pokémon können mit bestimmten Items oder Attacken ausgetauscht werden."
23,9,Prevents opponents from fleeing or switching out.,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with []{ability:run-away} can still flee.  Pokémon can still switch out with the use of a move or item."
24,5,Inflige des dégâts égaux à 1/8 de leurs PV max aux Pokémon attaquants au contact.,"À chaque fois qu'une attaque touche ce Pokémon, l'utilisateur de l'attaque subit des dégâts équivalents à 1/8 de ses PV maximum.

Cette capacité fonctionne de manière identique à Épine de Fer."
24,6,Angreifende Pokémon erhalten 1/8 ihrer maximalen []{mechanic:hp} Schaden bei Kontakt.,"Wenn eine gegnerische Attacke Kontakt mit einem Pokémon mit dieser Fähigkeit hat, erleidet der Angreifer 1/8 seiner maximalen []{mechanic:hp} Schaden.

Diese Fähigkeit ist identisch mit []{ability:iron-barbs}."
24,9,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum [HP]{mechanic:hp} in damage.

This ability functions identically to []{ability:iron-barbs}."
25,5,Protège contre les attaques qui ne sont pas super efficaces.,"Ce Pokémon est immunisé aux attaques infligeant des dégâts qui ne sont pas super efficaces contre lui.

Les attaques infligeant des dégâts fixes, comme Ombre Nocturne ou Sacrifice, sont considérées comme super efficaces si leur type l'est.  Les dégâts indirects, tels que ceux causés par la météo, un statut ou des pièges comme les Pics, ne sont pas empêchés.

Cette capacité ne peut pas être copiée avec Simulation ou échangée avec Échange, mais elle peut être copiée avec Calque, désactivée avec Suc Digestif ou changée avec Herbe Pouvoir.  Ce Pokémon peut toujours utiliser Simulation pour perdre cette capacité, mais pas Échange.

Si ce Pokémon a un Clone, cette capacité bloquera les attaques comme d'habitude et les attaques non bloquées réagiront au Clone comme d'habitude."
